0,0
1,0
8,0
57,0
2,0
9,0
58,0
16,0
65,0
114,0
3,-1
10,-1
59,-1
17,-1
66,-1
115,-1
24,-1
73,-1
122,-1
171,-1
4,-1
11,-1
60,-1
18,-1
67,-1
116,-1
25,-1
74,-1
123,-1
172,-1
32,-1
81,-1
130,-1
179,-1
228,-1
5,1
12,-1
61,-1
19,-1
68,-1
117,-1
26,-1
75,-1
124,-1
173,-1
33,-1
82,-1
131,-1
180,-1
229,-1
40,8
89,-1
138,-1
187,-1
236,-1
285,57
6,1
13,1
62,1
20,-1
69,-1
118,-1
27,-1
76,-1
125,-1
174,-1
34,-1
83,-1
132,-1
181,-1
230,-1
41,8
90,-1
139,-1
188,-1
237,-1
286,57
48,8
97,8
146,-1
195,-1
244,-1
293,57
342,57
7,1
14,1
63,1
21,1
70,1
119,1
28,-1
77,-1
126,-1
175,-1
35,-1
84,-1
133,-1
182,-1
231,-1
42,8
91,-1
140,-1
189,-1
238,-1
287,57
49,8
98,8
147,-1
196,-1
245,-1
294,57
343,57
56,8
105,8
154,8
203,-1
252,-1
301,57
350,57
399,57
